,Voice_Input,Corr_Input,Label,Voice_Object,Corr_Object
33,go for gadde,Grimer come bac. Go Frogadier,1,for gadde,Frogadier
34,switch for pumpkaboo,Honedge switch for PumpkabooLarge Size,1,pumpkaboo,Pumpkaboo
35,blastoise return swap for shuppet,BlastoiseMega Blastoise swap for Shuppet,1,shuppet,Shuppet
36,cable come back how you go in furnace,Gible come bac. Go Infernape,1,in furnace,Infernape
37,stroke take rest toxicroak switch for a gas,Toxicroak switch for Gastly,1,gas,Gastly
38,come back guard job,GarchompMega Garchomp swap for LandorusIncarnate Forme,1,,LandorusIncarnate Forme
39,umbreon return go never,Umbreon come bac. Go Noivern,1,never,Noivern
40,spinda you stay web spinda you stay web,Spinda  use  Tail Whip,0,you stay web,Tail Whip
41,shell mad use flamethrower,Shelmet  use  Flamethrower,0,flamethrower,Flamethrower
42,use Fury cutter,Graveler  use  Fury Cutter,0,Fury cutter,Fury Cutter
43,use teater dance,Mothim  use  Teeter Dance,0,teater dance,Teeter Dance
44,use acid,BlastoiseMega Blastoise  use  Acid,0,acid,Acid
45,victini use hair,Victini  use  Hail,0,hair,Hail
46,net use lovely kiss,Banette  use  Lovely Kiss,0,lovely kiss,Lovely Kiss
47,use fire spin,Blastoise  use  Fire Spin,0,fire spin,Fire Spin
48,squirtle squirtle use Rapid spin,Squirtle  use  Rapid Spin,0,Rapid spin,Rapid Spin
49,conquer door use wards dance,Conkeldurr  use  Swords Dance,0,wards dance,Swords Dance
50,Lenovo is swagger,Linoone use Swagger,0,swagger,Swagger
51,youth thunder wave,Bastiodon use Thunder Wave,0,thunder wave,Thunder Wave
52,throttle use mud slap,RotomHeat Rotom use Mud-Slap,0,mud slap,Mud-Slap
53,bonus,Pidove use Bone Rush,0,bonus,Bone Rush
54,use software,Pyroar use Shock Wave,0,software,Shock Wave
55,use Harden,Murkrow use Harden,0,Harden,Harden
56,youth fire spin,Shelmet use Fire Spin,0,fire spin,Fire Spin
57,acid armour,Solosis use Acid Armor,0,acid armour,Acid Armor
58,Y barabar use waterfall,Vibrava use Waterfall,0,waterfall,Waterfall
59,reticent used double edge,Raticate use Double-Edge,0,double edge,Double-Edge
60,scyther use psycho boost,Scyther use Psycho Boost,0,psycho boost,Psycho Boost
61,use Hill Bell,Duskull use Heal Bell,0,Hill Bell,Heal Bell
62,flex use helping hand,Snorlax use Helping Hand,0,helping hand,Helping Hand
63,gold ring use Memento,Walrein use Memento,0,Memento,Memento
64,use Rand dance,AmpharosMega Ampharos use Rain Dance,0,Rand dance,Rain Dance
65,absol use lovely kiss,Absol use Lovely Kiss,0,lovely kiss,Lovely Kiss
66,combat used thief,SwampertMega Swampert use Thief,0,thief,Thief
67,yanmega use frustration,Yanmega use Frustration,0,frustration,Frustration
68,use Karate job,Staravia use Karate Chop,0,Karate job,Karate Chop
69,diglett use high jump kick,Diglett use Hi Jump Kick,0,high jump kick,Hi Jump Kick
70,form u super fan,AegislashShield Forme use Super Fang,0,super fan,Super Fang
71,latios use low kick,LatiosMega Latios use Low Kick,0,low kick,Low Kick
72,use flamethrower,Lotad use Flamethrower,0,flamethrower,Flamethrower
73,Delhi Bird use outrage,Delibird use Outrage,0,outrage,Outrage
74,torque used detect,Torchic use Detect,0,detect,Detect
75,lillipup USA weather bol,Lillipup use Weather Ball,0,weather bol,Weather Ball
76,Sable use sonic boom,Sableye use SonicBoom,0,sonic boom,SonicBoom
77,Lakshya us light screen,Luxio use Light Screen,0,light screen,Light Screen
78,micro use poison string,Murkrow use Poison Sting,0,poison string,Poison Sting
79,Arc 9 used false swipe,Arcanine use False Swipe,0,false swipe,False Swipe
